ID,Category,SLOT,English,Turkish,Finnish,Polish,German,French,Spanish,Portuguese,Brazilian,Czech,Italian,Dutch,,
0,Corners,LEFT_HAIRPIN,Hairpin Left,Sola U dönüşü,Vasen Serpo,Nawrót lewy,,,Paella Izquierda,Gancho à Esquerda,Hairpin Esquerda,,,,,
1,Corners,LEFT_1,1 Left,Sol 1,Vasen 1,JEDEN lewy,,,UNO Izquierda,UM Esquerda,UM Esquerda,,,,,
2,Corners,LEFT_2,2 Left,Sol 2,Vasen 2,DWA lewy,,,DOS Izquierda,DOIS Esquerda,DOIS Esquerda,,,,,
3,Corners,LEFT_3,3 Left,Sol 3,Vasen 3,Trzy lewy,,,Tres Izquierda,Três Esquerda,Três Esquerda,,,,,
4,Corners,LEFT_4,4 Left,Sol 4,Vasen 4,Cztery lewy,,,Quatro Izquierda,Quatro Esquerda,Quatro Esquerda,,,,,
5,Corners,LEFT_5,5 Left,Sol 5,Vasen 5,Pięć lewy,,,Cinco Izquierda,Cinco Esquerda,Cinco Esquerda,,,,,
6,Corners,RIGHT_5,5 Right,Sağ 5,Oikee 5,Pięć prawy,,,Cinco Derecha,Cinco Direita,Cinco Direita,,,,,
7,Corners,RIGHT_4,4 Right,Sağ 4,Oikee 4,Cztery prawy,,,Quatro Derecha,Quatro Direita,Quatro Direita,,,,,
8,Corners,RIGHT_3,3 Right,Sağ 3,Oikee 3,Trzy prawy,,,Tres Derecha,Três Direita,Três Direita,,,,,
9,Corners,RIGHT_2,2 Right,Sağ 2,Oikee 2,DWA prawy,,,DOS Derecha,DOIS Direita,DOIS Direita,,,,,
10,Corners,RIGHT_1,1 Right,Sağ 1,Oikee 1,JEDEN prawy,,,UNO Derecha,UM Direita,UM Direita,,,,,
11,Corners,RIGHT_HAIRPIN,Hairpin Right,Sağa U dönüşü,Oikee Serpo,Nawrót prawy,,,Paella Derecha,Gancho à Direita,Hairpin Direita,,,,,
12,Line,TWISTY,Twisty,Şikan,,Kręty,,,Curvas,Sinuoso,Sinuoso,,,,,
13,Links,DISTANCE_CALL,Distance,Mesafe,,Dystans,,,Distancia,Distância Chamada das Notas,----Distância,,,,,
14,Modifier,NARROWS,Narrows,Dar geçiş,Kapenee,Zwęża,,,Estrecha,Estreito,Estreito,,,,,
15,Modifier,WIDEOUT,Wide Exit,Geniş çıkış,,Wypuść,,,Se abre,Largo por fora,Largo por fora,,,,,
16,Obstacles,OVER_CREST,Over Crest,Tepeyi aş,Yli,Przez szczyt,,,Rasante,Pela Lomba,Pelo alto,,,,,
17,Obstacles,FORD,Ford,Dere,,Rzeczka,,,Vado,Passagem de água,Raso,,,,,
18,Cautions,CARE,Care,Dikkatli yaklaş,Varo,Z uwagą,,,Atencion,Cuidado,Atenção,,,,,
19,Obstacles,BUMP,Bump,Tümsek,,Wybój,,,Bache,Ressalto,Lombada,,,,,
20,Obstacles,JUMP,Jump,Zıpla,Hyppy,Hopa,,,Salto,Salto,Salto,,,,,
21,Links,START,Start,Başla,Aloita,Start,,,Comienzo,Começa,Começa,,,,,
22,Links,FINISH,Finish,Bitir,Maali,Przez metę,,,Final,Fim,termina,,,,,
23,Links,SPLIT,,Ayrım,,Pomiar,,,Parcial,Parcial,Parcial,,,,,
24,Links,END_OF_TRACK,Stop by marshals,Pistin sonu,,Do domu,,,Final de tramo,Fim do Troço,pare nas marechais,,,,,
25,Links,NEXT_LAP,Onto next lap,Bir sonraki tura,Seuraavalle kierrokselle,Okrążenie,,,Vuelta,Para próxima volta,Próxima volta,,,,,
26,Links,TO_FINISH,Flying finish,Bitiş çizgisine,Maaliin,Meta lotna,,,A Final,Para o Final,Até o final,,,,,
27,Obstacles,BRIDGE,Bridge,Köprü,Silta,Most,,,Puente,Ponte,Ponte,,,,,
28,Line,GOSTRAIGHT,Straight,Düz,Suora,Prostuj,,,Seguir recto,Em Frente,Em Frente,,,,,
29,Line,KEEP_RIGHT,Keep Right,Sağda kal,Oikee Laita,Prawą,,,Continuar der,Fica à Direita,mantém à direita,,,,,
30,Line,KEEP_LEFT,Keep Left,Solda Kal,Vasen Laita,Lewą,,,Continuar Izq,Fica à Esquerda,mantém à esquerda,,,,,
31,Line,KEEP_MIDDLE,Keep Middle,Ortada Kal,Keskeltä,Środkiem,,,Continuar centro,Fica no Meio,mantém no centro,,,,,
32,Cautions,CAUTION,Caution,Tehlike,Huomio,Ostrożnie,,,Cuidado,Cuidado,Cuidado,,,,,
33,Cautions,DOUBLE_CAUTION,Double Caution,Çifte Tehlike,Huomio Huomio,Bardzo ostrożnie,,,Mucha Precaucion,Cuidado Cuidado,Cuidado Cuidado,,,,,
34,Cautions,TRIPLE_CAUTION,Triple Caution,Üçlü Tehlike,,Kurewsko ostrożnie!,,,Maxima precaucion,Triplo Cuidado,Triplo Cuidado,,,,,
35,Cautions,CAREIN,Care in,Dikkatli gir,Varo Sisällä,Wejście z uwagą,,,,Cuidado por dentro,Atenção por dentro,,,,,
36,Cautions,CAREOUT,Care out,Dikaktli Çık,Varo Ulkona,Wyjście z uwagą,,,,Cuidado por fora,Atenção por fora,,,,,
37,Cautions,PRECISE,Precise,Kesin,Tarkka,Nie wybacza,,,,Preciso,Precisão,,,,,
38,Cautions,DECEPTIVE,Deceptive,Aldatıcı,Hämää,Mylący,,,,Engana,Enganosa,,,,,
39,Cautions,HIDDEN,Hidden,Gizli,,Ukryty,,,Escondida,Escondido,Escondido,,,,,
40,Cautions,BLIND,Blind,Görünmez,,Ślepy,,,Ciega,Cego,Cego,,,,,
41,Cautions,SUDDEN,Sudden,Ani,,Nagły,,,,Inesperado,De repente,,,,,
42,Cautions,IMPORTANT,Important,Önemli,Tärkee,Ważny,,,,Importante,Importante,,,,,
43,Cautions,DRAWS_IN,Draws In,İçe doğru atar,,Wciąga,,,Trazar interior,Puxa para dentro,Puxa para dentro,,,,,
44,Cautions,THROWS_OUT,Throws Out,Dışa doğru atar,,Wyrzuca,,,,Atira para fora,Joga para fora,,,,,
45,Cautions,LIFTS,Lifts,Kaldırır,Keventää,Odrywa,,,,Levanta,Levanta,,,,,
46,Cautions,REMEMBER,Remember,Hatırla,Muista,Pamiętaj,,,,Relembrar,Lembra,,,,,
47,Cautions,PATIENT,Patient,Sabırlı,Malta,Spokojnie,,,,Mantêm a concentração,Tranquilo,,,,,
60,Obstacles,CREST,Crest,Tepe,Nyppy,Szczyt,,,Cima,Lomba,Alto,,,,,
61,Obstacles,BROW,Brow,Kaş,,Próg!,,,Raya,Lomba curta,Pico,,,,,
62,Obstacles,DITCH,Ditch,Hendek,Oja,Rów,,,Zanja,Vala,Vala,,,,,
63,Obstacles,CHICANE,Chicane,Şikan,Shikaani_,Szykana,,,Chicane,Chicane,Chicane,,,,,
64,Obstacles,DIP,Dip,Dip,Notko,Dno,,,Bajada,Depressão,Depressão,,,,,
65,Obstacles,DROP,Drop,Düşmek,,Spadek,,,Desnivel,Desnivel,Desnivel,,,,,
66,Obstacles,GATE,Gate,Geçit,,Brama,,,Portal,Portão,Portão,,,,,
67,Obstacles,TUNNEL,Tunnel,Tünel,Tunneli,Tunel,,,Tunnel,Túnel,Túnel,,,,,
68,Obstacles,CURB,Curb,Kaldrım,Kantti,Krawężnik,,,Bordillo,Lancil,Meio-fio,,,,,
69,Obstacles,RAILS,Rails,Raylar,Raiteet,Szyny,,,Railes,Trilhos,Grade,,,,,
70,Obstacles,RAILWAY,Railway,Tren Yolu,,Kolej,,,Vias,Caminho de Ferro,Trilhos,,,,,
71,Obstacles,BUMPS,Bumps,Tümsekler,,Wyboje,,,Bacheada,Ressaltos,Saltos,,,,,
72,Obstacles,HOLE,Hole,Çukur,,Dziura,,,Agujero,Buraco,Buraco,,,,,
73,Obstacles,GRATE,Grate,Izgara,,Tarka,,,,Grade metálica,Grade,,,,,
74,Obstacles,RUT,Rut,Teker izi,Ura,Koleina,,,,Sulco,Sulco,,,,,
75,Obstacles,RUTS,Ruts,Teker izleri,,Koleiny,,,Surco,Sulcos,Sulcos,,,,,
76,Obstacles,ROUNDABOUT,Roundabout,Göbek,Ympyrä,Rondo,,,Rotonda,Rotunda,Rotatória,,,,,
77,Obstacles,JUNCTION,Junction,Kavşak,_Risteys,Krzyżówka,,,Cruce,Cruzamento,Junção,,,,,
78,Obstacles,FORK,Fork,Çatal,,Rozwidlenie,,,Desvio,Bifurcação,Bifurcação,,,,,
79,Obstacles,LAYBY,Lay-By,Yanaşma yeri,Levike,Zatoka,,,,Espera,Espera,,,,,
80,Obstacles,INCLINE,Incline,eğim,,Wzniesienie,,,Cuesta,Inclinado,Inclinado,,,,,
81,Obstacles,HILL,Hill,Yokuş,,Górka,,,Colina,Colina,Colina,,,,,
82,Obstacles,SLOPE,Slope,Eğim,,Zbocze,,,Pendiente,Declive,Declive,,,,,
83,Obstacles,FIELD,Field,Alan,,Pole,,,,Campo,Campo,,,,,
84,Obstacles,WATER,Water,Su,(Vettä),Woda,,,Agua,Água,Água,,,,,
85,Obstacles,NIP,Sumppu / Squash,Sıkıştır,Sumppu,Winkiel,,,,Estreita,Achatada,,,,,
100,Corners,LEFT,Left,Sol,Vasen,Lewy,,,Izquierda,Esquerda,Esquerda,,,,,
101,Corners,LEFT_6,6 Left,Sol 6,,Sześć lewy,,,Seis Izquierda,Esquerda seis,Seis Esquerda,,,,,
102,Corners,LEFT_SQUARE,Square Left,Sola dik açılı,,HAK lewy,,,Cruce Izquierda,Esquerda 90,Esquerda 90,,,,,
103,Corners,LEFT_INTO,Left Into,Sola doğru,(Vasen),Lewą,,,Izquierda En,Pela Esquerda,Esquerda para,,,,,
104,Corners,LEFT_RIGHT,Left-Right,Sol sağ,Vasen-Oikee,Lewy Prawy,,,Izquierda-Derecha,Esquerda Direita,Esquerda Direita,,,,,
105,Corners,LEFT_ACUTE,Acute Left,İğne Sol,,SZPILA lewy,,,Aguja Izquierda,Gancho apertado à esquerda,Esquerda Aguda,,,,,
106,Corners,LEFT_AROUND,Left Around,Çevresinden sol,Kierrä Vasemmalta,Objedź od prawej,,,Izquierda Redonda,Esquerda à volta,Esquerda por fora,,,,,
107,Corners,LEFT_DONUT,Donut Left,Daire Sol,,Beczka od prawej,,,Donut Izquierda,Donut à Esquerda,Rotatória para a Esquerda,,,,,
108,Corners,LEFT_SHORT,Short Left,Kısa sol,,Krótki lewy,,,Corta Izquierda,Esquerda Curta,Esquerda Curta,,,,,
109,Corners,LEFT_OVER,Left Over,Sola git,Vasemmalle,Lewą przez,,,Izquierda sobre,Sobre a Esquerda,Sobre a Esquerda,,,,,
110,Corners,CHICANE_LEFT_ENTRY,Left Entry Chicane,Soldan şikan giriş,Shikaani Vasemmalta,Szykana od lewej,,,Chicane por Izquierda,Chicane entra pela Esquerda,Chicane pela esquerda,,,,,
112,Corners,RIGHT,Right,Sağ,Oikee,Prawy,,,Derecha,Direita,Direita,,,,,
113,Corners,RIGHT_6,6 Right,Sağ 6,Oikee 6,Sześć prawy,,,Seis Derecha,Seis Direita,Seis Direita,,,,,
114,Corners,RIGHT_SQUARE,Square Right,Sağa dik açılı,Oike neliö,HAK prawy,,,Cruce Derecha,Direita 90,Direita 90,,,,,
115,Corners,RIGHT_INTO,Right Into,Saia doğru,(Oikee),Prawą,,,Derecha En,Pela Direita,Pela Direita,,,,,
116,Corners,RIGHT_LEFT,Right-Left,Sağ sol,Oikee-Vasen,Prawy Lewy,,,Derecha-Izquierda,Direita esquerda,Pela Esquerda,,,,,
117,Corners,RIGHT_ACUTE,Acute Right,Keskin sağ,,SZPILA prawy,,,Aguja Izquierda,Gancho apertado à direita,Hairpin Direita,,,,,
118,Corners,RIGHT_AROUND,Right Around,Çevresinden sağ,Kierrä Oikeelta,Objedź od lewej,,,Derecha Redonda,Direita à volta,Direita por fora,,,,,
119,Corners,RIGHT_DONUT,Donut Right,Daire sağ,,Beczka od lewej,,,Donut Derecha,Donut à Direita,Rotatória para a direita,,,,,
120,Corners,RIGHT_SHORT,Short Right,Kısa sağ,,Krótki prawy,,,Corta Derecha,Direita curta,Esquerda Curta,,,,,
121,Corners,RIGHT_OVER,Right Over,Sağdan,Oikeelle,Prawą przez,,,Derecha sobre,Sobre a Direita,Sobre a Direita,,,,,
122,Corners,CHICANE_RIGHT_ENTRY,Right Entry Chicane,Sağdan şikan giriş,Shikaani Oikeelta,Szykana od prawej,,,Chicane por Derecha,Chicane entra pela Direita,Chicane pela direita,,,,,
130,Line,KEEP_STRAIGHT,Keep Straight,Düz git,,Prosto,,,Recta,Sempre Em Frente,sempre em frente,,,,,
131,Line,KEEP_IN,Keep In,İçeride kal,Pidä,Wewnętrzną,,,Mantener interior,Mantêm por dentro,Mantêm por dentro,,,,,
132,Line,KEEP_OUT,Keep Out,Dışarıda kal,Roiku,Zewnętrzną,,, Mantener exterior,Mantêm por fora,Mantêm por fora,,,,,
133,Line,FROM_LEFT,From Left,Soldan,Vasemmalta,Od lewej,,,De Izquierda,Da Esquerda,Da Esquerda,,,,,
134,Line,FROM_RIGHT,From Right,Sağdan,Oikeelta,Od prawej,,,De Derecha,Da Direita,Da Direita,,,,,
135,Line,TO_LEFT,To Left,Sola,,Do lewej,,,A Izquierda,Para a Esquerda,Para a Esquerda,,,,,
136,Line,TO_RIGHT,To Right,Sağa,,Do prawej,,,A Derecha,Para a Direita,Para a Direita,,,,,
140,Range,1,1,Bir,1,Jeden,,,Un,Um,Um,,,,,
141,Range,2,2,iki,2,Dwa,,,Dos,Dois,Dois,,,,,
142,Range,3,3,üç,3,Trzy,,,Tres,Três,Três,,,,,
143,Range,4,4,dört,4,Cztery,,,Cuatro,Quatro,Quatro,,,,,
144,Range,5,5,beş,5,Pięć,,,Cinco,Cinco,Cinco,,,,,
145,Range,6,6,altı,6,Sześć,,,Seis,Seis,Seis,,,,,
146,Range,7,7,yedi,7,Siedem,,,Siete,Sete,Sete,,,,,
147,Range,8,8,sekiz,8,Osiem,,,Ocho,Oito,Oito,,,,,
148,Range,9,9,dokuz,9,Dziewięć,,,Nueve,Nove,Nove,,,,,
149,Range,10,10,on,10,Dziesięć,,,Diez,Dez,Dez,,,,,
150,Range,20,20,yirmi,20,Dwa-dzieścia,,,Dos-veinte,Dois-vinte,vinte,,,,,
151,Range,30,30,otuz,30,Trzy-dzieści,,,Tres-veinte,Três-vinte,Trinta,,,,,
152,Range,40,40,kırk,40,Czter-dzieści,,,Cuatro-veinte,Quatro-vinte,quarenta,,,,,
153,Range,50,50,elli,50,Pięć-dziesiąt,,,Cinco-diez,Cinco-dez,cinquenta,,,,,
154,Range,60,60,altmış,60,Sześć-dziesiąt,,,Seis-veinte,Seis-vinte,sessenta,,,,,
155,Range,70,70,yetmiş,70,Siedem-dziesiąt,,,Siete veinte,Sete vintes,setenta,,,,,
156,Range,80,80,seksen,80,Osiem-dziesiąt,,,Ocho-diez,Oito-dez,oitenta,,,,,
157,Range,90,90,doksan,90,Dziewięć-dziesiąt,,,Nueve-diez,Nove-dez,noventa,,,,,
158,Range,100,100,yüz,100,Sto,,,Cien,Cem,Cem,,,,,
159,Range,120,120,yüz yirmi,120,Sto Dwa-dzieścia,,,Cien Doscientos Veinte,Cem Dois vinte,Cento e vinte,,,,,
160,Range,140,140,yüz kırk,140,Sto Czter-dzieści,,,Ciento Cuatrocientos,Cem Quatro vintes,cento e quarenta,,,,,
161,Range,150,150,yüz elli,150,Sto Pięć-dziesiąt,,,Ciento Cinco veinte,Cem Cinco vintes,cento e sessenta,,,,,
162,Range,160,160,yüz altmış,160,Sto Sześć-dziesiąt,,,Ciento Seiscientos,Cento e seis vintes,Cem Quatro e vinte,,,,,
163,Range,180,180,yüz seksen,180,Sto Osiem-dziesiąt,,,Ciento ocho-diez,Cento e oito dez,Cento e oito dez,,,,,
164,Range,200,200,iki yüz,200,Dwieście,,,Doscientos,Duzentos,Duzentos,,,,,
165,Range,250,250,iki yüz elli,250,Dwieście Pięćdziesiąt,,,Doscientos Cincuenta,Duzentos e cinquenta,Duzentos e cinquenta,,,,,
166,Range,300,300,üç yüz,300,Trzysta,,,Trescientos,Trezentos,Trezentos,,,,,
167,Range,350,350,üç yüz elli,350,Trzysta Pięćdziesiąt,,,Trescientos Cincuenta,Trezentos e cinquenta,Trezentos e cinquenta,,,,,
168,Range,400,400,dört yüz,400,Czterysta,,,Cuatrocientos,Quatrocentos,Quatrocentos,,,,,
169,Range,450,450,dört yüz elli,450,Czterysta Pięćdziesiąt,,,Cuatrocientos Cincuenta,Quatrocentos e cinquenta,Quatrocentos e cinquenta,,,,,
170,Range,500,500,beş yüz,500,Pięćset,,,Quinientos,Quinhentos,Quinhentos,,,,,
171,Range,600,600,altı yüz,600,Sześćset,,,Seiscientos,Seiscentos,Seiscentos,,,,,
172,Range,700,700,yedi yüz,700,Siedemset,,,Setecientos,Setecentos,Setecentos,,,,,
173,Range,800,800,sekiz yüz,800,Osiemset,,,Ochocientos,Oitocentos,Oitocentos,,,,,
174,Range,900,900,dokuz yüz,900,Dziewięćset,,,Novecientos,Novecentos,Novecentos,,,,,
175,Range,1000,1000,bin,1000,Tysiąc,,,Mil,Mil,Mil,,,,,
200,Modifier,TIGHT,Tight,Sıkı,Tiukka,Ciasny,,,Fuerte,Apertado,Apertado,,,,,
201,Modifier,NARROW,Narrow,Dar,Kapee,Wąski,,,Estrecha,Estreita,Estreita,,,,,
202,Modifier,WIDE,Wide,Geniş,Levee,Szerzej,,,Ancho,Largo,Largo,,,,,
203,Modifier,WIDENS,Widens,Genişler,Levenee,Szeroki,,,Ensancha,Alarga,Alarga,,,,,
204,Modifier,DOUBLE,Double,Çift,Tupla,Podwójny,,,Doble,Duplo,Duplo,,,,,
205,Modifier,TRIPLE,Triple,Üçlü,,Potrójny,,,Triple,Triplo,Triplo,,,,,
206,Modifier,QUADRUPLE,Quadruple,Dörtlü,,Poczwórny,,,Cuádruple,Quádruplo,Quádruplo,,,,,
207,Modifier,OUTSIDE,Out,Dış,Ulkona,Zewnątrz,,,Fuera,Por Fora,Por Fora,,,,,
208,Modifier,BETWEEN,Between,Arasında,,Pomiędzy,,,Entre,Entre,Entre,,,,,
209,Modifier,INSIDE,In,İçinde,Sisällä,Wewnątrz,,,Dentro,Interior,Por Dentro,,,,,
210,Modifier,MIDDLE,Middle,Ortada Kal,,Środek,,,Centro,Meio,Meio,,,,,
211,Modifier,SLIGHT,Slight,Hafif,Vähän,Łagodny,,,Ligera,Levemente,Levemente,,,,,
212,Modifier,SHORT,Short,Kısa,Lyhyt,Krótki,,,Corta,Curta,Curta,,,,,
213,Modifier,SHORT_VERY,Very Short,Çok kısa,,Bardzo krótki,,,Muy Corto,Muita Curta,Muita Curta,,,,,
214,Modifier,LONG_VERY,Very Long,Çok uzun,,Bardzo długi,,,Muy Largo,Muita Longa,Muita Longa,,,,,
215,Modifier,ROUND,Round,Yuvarlak,Pyöree,Po kuli,,,Redonda,Redondo,Arredondada,,,,,
216,Modifier,SHARP,Sharp,Keskin,Terävä,Ostry,,,Brusca,Afiado,Acentuada,,,,,
217,Modifier,DONT,Dont,Yapma,,Nie,,,No,Nao,Nao,,,,,
218,Modifier,SECTION,Section,Bölüm,,Sekcja,,,Sección,Secção,Seção,,,,,
219,Modifier,EARLY,Early,Erken,Aikanen,Wczesny,,,Temprano,Cedo,Antecipada,,,,,
220,Modifier,LATE,Late,Geçit,Myöhä,Późny,,,Tarde,Tarde,Tardia,,,,,
221,Modifier,DOUBLE_TIGHTENS,Double tightens,İki kat sıkı,,Podwójny zacisk,,,Cierra Doble,Aperta Duas Vezes,Fecha duas vezes,,,,,
222,Modifier,STEEP,Steep,Dik,,Stromy,,,,Ingreme,Ingreme,,,,,
223,Modifier,DEEP,Deep,Derin,Syvä,Głęboki,,,Fondo,Fundo,Fundo,,,,,
224,Modifier,SHORT_HALF,Half short,Yarım kısa,,Pół krótki,,,,Meia Curta,Meia Curta,,,,,
225,Modifier,SHORT_EXTRA,Extra short,Ekstra kısa,,Króciutki,,,,Extra Curta,Extra curta,,,,,
226,Modifier,SHORT_EXTRAEXTRA,Extra Extra Short,Ekstra Ekstra kıas,,Mikro,,,,Extra extra curta,Extra extra curta,,,,,
227,Modifier,SHORT_FUCKING,Fucking Short,Sik kadar,,Karzeł,,,,Extremamente curta,Curta pra caralho,,,,,
228,Modifier,SHORTSHORT,Shortshort,Kısa kısa,Lyhytlyhyt,KrótkiKrótki,,,corta corta,Curta Curta,Curta Curta,,,,,
229,Modifier,NARROW_ENTRY,Narrow Entry,Dar giriş,,Wejdź ciasno,,,,Entrada estreita,Entrada estreita,,,,,
230,Modifier,NARROW_EXIT,Narrow Exit,Dar çıkış,,Nie wypuszczaj,,,,Saída estreita,Saída estreita,,,,,
231,Modifier,WIDE_ENTRY,Wide Entry,Geniş giriş,,Wejdź szeroko,,,,Entrada larga,Entrada larga,,,,,
232,Modifier,MINUS,Minus,Eksi,Miinus,Minus,,,Menos,Menos,Menos,,,,,
233,Modifier,MINUSMINUS,Minus Minus,Eksi Eksi,,Minus MINUS!,,,Menos Menos,Menos Menos,Menos Menos,,,,,
234,Modifier,PLUS,Plus,Artı,Plus,Plus,,,Mas,Mais,Mais,,,,,
235,Modifier,PLUSPLUS,Plus Plus,Artı artı,,Plus PLUS!,,,Mas Mas,Mais Mais,Mais Mais,,,,,
236,Modifier,LONG_HALF,Half long,Yarım uzun,,Pół długi,,,,Meia Longa,Meia Longa,,,,,
237,Modifier,LONG_EXTRA,Extra Long,Ekstra uzun,,Extra długi,,,,Extra longa,Extra longa,,,,,
238,Modifier,LONG_EXTRAEXTRA,Extra Extra Long,Ekstra ekstra uzun,,Mega długi,,,,Extra extra longa,Extra extra longa,,,,,
239,Modifier,LONG_FUCKING,Fucking Long,Yarrak gibi uzun,,Kurewsko długi,,,,Extremamente longa,Longa pra caralho,,,,,
240,Modifier,LONGLONG,Longlong,Uzun uzun,Pitkänpitkä,DługiDługi,,,Larga larga,Longa Longa,Longa Longa,,,,,
241,Modifier,SECTION_FASTER,Faster section,Daha hızlı bölüm,,Szybsza sekcja,,,Sección rápida,Secção rápida,Seção rápida,,,,,
242,Modifier,SECTION_SLOWER,Slower section,Daha yavaş bölüm,,Wolniejsza sekcja,,,Sección lenta,Secção lenta,Seção lenta,,,,,
243,Modifier,SECTION_NARROWER,Narrower section,Daha dar bölüm,,Ciaśniejsza sekcja,,,,Secção estreita,Seção mais estreita,,,,,
