ID,Category,SLOT,English,Turkish,Finnish,Polish,German,French,Spanish,Portuguese,Brazilian,Czech,Italian,Dutch,,
1424,Surface,CONCRETE_FIRM,Firm Concrete,Sıkı beton,,Stabilny beton,,,,Betão firme,Concreto firme,,,,,
1425,Surface,RUBBLE_FIRM,Firm Rubble,Sıkı moloz,,Zwarty gruz,,,,Entulho firme,Destroço firme,,,,,
1426,Surface,SNOW_FIRM,Firm Snow,Sıkı kar,,Zbity śnieg,,,,Neve firme,Neve firme,,,,,
1427,Surface,ICE_FIRM,Firm Ice,Sıkı buz,,Zbity lód,,,,Gelo firme,Gelo firme,,,,,
1428,Surface,BLACK_ICE_FIRM,Firm Black Ice,,,Zbity czarny lód,,,,Camada de gelo firme,Gelo preto firme,,,,,
1429,Surface,MUD_FIRM,Firm Mud,Sıkı çamur,,Zwarte błoto,,,,Lama firme,Lama firme,,,,,
1430,Surface,COBBLES_FIRM,Firm Cobbles,Sıkı kaldırım,,Stabilna kostka,,,,Calçada firme,Paralelepipedos firmes,,,,,
1440,Surface,GRIT_SLIPPY,Slippy Grit,Kaygan kum,,Śliski żwir,,,,Areia escorregadia,Granito escorregadio,,,,,
1441,Surface,GRAVEL_SLIPPY,Slippy Gravel,Kaygan çakıl,,Śliski szuter,,,,Cascalho escorregadio,Cascalho escorregadio,,,,,
1442,Surface,DIRT_SLIPPY,Slippy Dirt,Kaygan toprak,,Śliski syf,,,,Terra escorregadia,Barro escorregadio,,,,,
1443,Surface,TARMAC_SLIPPY,Slippy Tarmac,Kaygan asfalt,,Śliski asfalt,,,,Asfalto escorregadio,Asfalto escorregadio,,,,,
1444,Surface,CONCRETE_SLIPPY,Slippy Concrete,Kayban beton,,Śliski beton,,,,Betão escorregadio,Concreto escorregadio,,,,,
1445,Surface,RUBBLE_SLIPPY,Slippy Rubble,Kaygan moloz,,Śliski gruz,,,,Entulho escorregadio,Destroço escorregadio,,,,,
1446,Surface,SNOW_SLIPPY,Slippy Snow,Kaygan kar,,Śliski śnieg,,,,Neve escorregadio,Neve escorregadia,,,,,
1447,Surface,ICE_SLIPPY,Slippy Ice,Kargan buz,,Śliski lód,,,,Gelo escorregadio,Gelo escorregadio,,,,,
1448,Surface,BLACK_ICE_SLIPPY,Slippy Black Ice,,,Śliski czarny lód,,,,Camada de gelo escorregadia,Gelo preto escorregadio,,,,,
1449,Surface,MUD_SLIPPY,Slippy Mud,Kaygan çamur,,Śliskie błoto,,,,Lama escorregadia,Lama escorregadia,,,,,
1450,Surface,COBBLES_SLIPPY,Slippy Cobbles,Kaygan kaldırım,,Śliska kostka,,,,Calçada escorregadia,Paralelepipedos escorregadios,,,,,
1460,Surface,GRIT_GRIPPY,Grippy Grit,Tutucu kum,,Lepki żwir,,,,Areia boa aderência,Granito aderente,,,,,
1461,Surface,GRAVEL_GRIPPY,Grippy Gravel,Tutucu çakıl,,Lepki szuter,,,,Cascalho boa aderência,Cascalho aderente,,,,,
1462,Surface,DIRT_GRIPPY,Grippy Dirt,Turucu toprak,,Lepki syf,,,,Terra boa aderência,Barro aderente,,,,,
1463,Surface,TARMAC_GRIPPY,Grippy Tarmac,Turucu Asfalt,,Klejący asfalt,,,,Asfalto boa aderência,Asfalto aderente,,,,,
1464,Surface,CONCRETE_GRIPPY,Grippy Concrete,Turucu beton,,Klejący beton,,,,Betão boa aderência,Concreto aderente,,,,,
1465,Surface,RUBBLE_GRIPPY,Grippy Rubble,Tutucu moloz,,Lepki gruz,,,,Entulho boa aderência,Destroço aderente,,,,,
1466,Surface,SNOW_GRIPPY,Grippy Snow,Tutucu kar,,Lepki śnieg,,,,Neve boa aderência,Neve aderente,,,,,
1467,Surface,ICE_GRIPPY,Grippy Ice,Tutucu buz,,Lepki lód,,,,Gelo boa aderência,Gelo aderente,,,,,
1468,Surface,BLACK_ICE_GRIPPY,Grippy Black Ice,,,Lepki czarny lód,,,,Camada de gelo boa aderência,Gelo preto aderente,,,,,
1469,Surface,MUD_GRIPPY,Grippy Mud,Tutucu çamur,,Lepkie błoto,,,,Lama boa aderência,Lama aderente,,,,,
1470,Surface,COBBLES_GRIPPY,Grippy Cobbles,tutucu kaldırım,,Klejąca kostka,,,,Calçada boa aderência,Paralelepipedos aderentes,,,,,
1480,Surface,GRIT_ROUGH,Rough Grit,Sert kum,,Dziurawy żwir,,,,Areia irregular,Granito aspero,,,,,
1481,Surface,GRAVEL_ROUGH,Rough Gravel,Sert çakıl,,Dziurawy szuter,,,,Cascalho irregular,Cascalho aspero,,,,,
1482,Surface,DIRT_ROUGH,Rough Dirt,Sert toprak,,Dziurawy syf,,,,Terra irregular,Barro aspero,,,,,
1483,Surface,TARMAC_ROUGH,Rough Tarmac,sert asfalt,,Dziurawy asfalt,,,,Asfalto irregular,Asfalto aspero,,,,,
1484,Surface,CONCRETE_ROUGH,Rough Concrete,sert beton,,Dziurawy beton,,,,Betão irregular,Concreto aspero,,,,,
1485,Surface,RUBBLE_ROUGH,Rough Rubble,sert moloz,,Dziurawy gruz,,,,Entulho irregular,Destroço aspero,,,,,
1486,Surface,SNOW_ROUGH,Rough Snow,Sert kar,,Dziurawy śnieg,,,,Neve irregular,Neve aspera,,,,,
1487,Surface,ICE_ROUGH,Rough Ice,Sert buz,,Dziurawy lód,,,,Gelo irregular,Gelo aspero,,,,,
1488,Surface,BLACK_ICE_ROUGH,Rough Black Ice,,,Dziurawy czarny lód,,,,Camada gelo irregular,Gelo preto aspero,,,,,
1489,Surface,MUD_ROUGH,Rough Mud,Sert çamur,,Dziurawe błoto,,,,Lama irregular,Lama aspera,,,,,
1490,Surface,COBBLES_ROUGH,Rough Cobbles,Sert kaldırım,,Dziurawa kostka,,,,Calçada irregular,Paralelepipedos asperos,,,,,
1500,Surface,GRIT_SMOOTH,Smooth Grit,Yumuşak kum,,Gładki żwir,,,,Areia suave,Granito liso,,,,,
1501,Surface,GRAVEL_SMOOTH,Smooth Gravel,Yumuşak çakıl,,Gładki szuter,,,,Cascalho suave,Cascalho liso,,,,,
1502,Surface,DIRT_SMOOTH,Smooth Dirt,Yumuşak toprak,,Gładki syf,,,,Terra suave,Barro liso,,,,,
1503,Surface,TARMAC_SMOOTH,Smooth Tarmac,Yumuşak asfalt,,Gładki asfalt,,,,Asfalto suave,Asfalto liso,,,,,
1504,Surface,CONCRETE_SMOOTH,Smooth Concrete,Yumuşak beton,,Gładki beton,,,,Betão suave,Concreto liso,,,,,
1505,Surface,RUBBLE_SMOOTH,Smooth Rubble,Yumuşak moloz,,Gładki gruz,,,,Entulho suave,Destroço liso,,,,,
1506,Surface,SNOW_SMOOTH,Smooth Snow,Yumuşak kar,,Gładki śnieg,,,,Neve suave,Neve lisa,,,,,
1507,Surface,ICE_SMOOTH,Smooth Ice,Yumuşak buz,,Gładki lód,,,,Gelo suave,Gelo liso,,,,,
1508,Surface,BLACK_ICE_SMOOTH,Smooth Black Ice,,,Gładki czarny lód,,,,Camada gelo suave,Gelo preto liso,,,,,
1509,Surface,MUD_SMOOTH,Smooth Mud,Yumuşak çamur,,Gładkie błoto,,,,Lama suave,Lama lisa,,,,,
1510,Surface,COBBLES_SMOOTH,Smooth Cobbles,Yumuşak kaldırım,,Gładka kostka,,,,Calçada suave,Paralelepipedos lisos,,,,,
1520,Surface,GRIT_DAMP,Damp Grit,Nemli kum,,Wilgotny żwir,,,,Areia húmida,Granito umido,,,,,
1521,Surface,GRAVEL_DAMP,Damp Gravel,Nemli çakıl,,Wilgotny szuter,,,,Cascalho húmido,Cascalho umido,,,,,
1522,Surface,DIRT_DAMP,Damp Dirt,Nemli toprak,,Wilgotny syf,,,,Terra húmida,Barro umido,,,,,
1523,Surface,TARMAC_DAMP,Damp Tarmac,Nemli asfalt,,Wilgotny asfalt,,,,Asfalto húmido,Asfalto umido,,,,,
1524,Surface,CONCRETE_DAMP,Damp Concrete,Nemli beton,,Wilgotny beton,,,,Betão húmido,Concreto umido,,,,,
1525,Surface,RUBBLE_DAMP,Damp Rubble,Nemli moloz,,Wilgotny gruz,,,,Entulho húmido,Destroço umido,,,,,
1526,Surface,SNOW_DAMP,Damp Snow,Nemli kar,,Wilgotny śnieg,,,,Neve húmida,Neve umida,,,,,
1527,Surface,ICE_DAMP,Damp Ice,Nemli buz,,Wilgotny lód,,,,Gelo húmido,Gelo umido,,,,,
1528,Surface,BLACK_ICE_DAMP,Damp Black Ice,,,Wilgotny czarny lód,,,,Camada Gelo húmido,Gelo preto umido,,,,,
1529,Surface,MUD_DAMP,Damp Mud,Nemli çamur,,Wilgotne błoto,,,,Lama húmida,Lama umida,,,,,
1530,Surface,COBBLES_DAMP,Damp Cobbles,Nemli kaldırım,,Wilgotna kostka,,,,Calçada húmida,Paralelepipedos umidos,,,,,
1540,Surface,GRIT_WET,Wet Grit,Islak kum,,Mokry żwir,,,,Areia molhada,Granito molhado,,,,,
1541,Surface,GRAVEL_WET,Wet Gravel,Islak çakıl,,Mokry szuter,,,,Cascalho molhado,Cascalho molhado,,,,,
1542,Surface,DIRT_WET,Wet Dirt,Islak toprak,,Mokry syf,,,,Terra molhada,Barro molhado,,,,,
1543,Surface,TARMAC_WET,Wet Tarmac,Islak asfalt,,Mokry asfalt,,,,Asfalto molhado,Asfalto molhado,,,,,
1544,Surface,CONCRETE_WET,Wet Concrete,Islak beton,,Mokry beton,,,,Betão molhado,Concreto molhado,,,,,
1545,Surface,RUBBLE_WET,Wet Rubble,Islak moloz,,Mokry gruz,,,,Entulho molhado,Destroço molhado,,,,,
1546,Surface,SNOW_WET,Wet Snow,Islak kar,,Mokry śnieg,,,,Neve molhada,Neve molhada,,,,,
1547,Surface,ICE_WET,Wet Ice,Islak buz,,Mokry lód,,,,Gelo molhada,Gelo molhado,,,,,
1548,Surface,BLACK_ICE_WET,Wet Black Ice,,,Mokry czarny lód,,,,Camada gelo molhado,Gelo preto molhado,,,,,
1549,Surface,MUD_WET,Wet Mud,Islak çamur,,Mokre błoto,,,,Lama molhada,Lama molhada,,,,,
1550,Surface,COBBLES_WET,Wet Cobbles,Islak kaldırım,,Mokra kostka,,,,Calçada molhada,Paralelepipedos molhados,,,,,
1560,Surface,GRIT_DRY,Dry Grit,Kuru kum,,Suchy żwir,,,,Areia seca,Granito seco,,,,,
1561,Surface,GRAVEL_DRY,Dry Gravel,Kuru çakıl,,Suchy szuter,,,,Cascalho seco,Cascalho seco,,,,,
1562,Surface,DIRT_DRY,Dry Dirt,Kuru toprak,,Suchy syf,,,,Terra seca,Barro seco,,,,,
1563,Surface,TARMAC_DRY,Dry Tarmac,Kuru asfalt,,Suchy asfalt,,,,Asfato seco,Asfalto seco,,,,,
1564,Surface,CONCRETE_DRY,Dry Concrete,Kuru beton,,Suchy beton,,,,Betão seco,Concreto seco,,,,,
1565,Surface,RUBBLE_DRY,Dry Rubble,Kuru moloz,,Suchy gruz,,,,Entulho seco,Destroço seco,,,,,
1566,Surface,SNOW_DRY,Dry Snow,Kuru kar,,Suchy śnieg,,,,Neve seca,Neve seca,,,,,
1567,Surface,ICE_DRY,Dry Ice,Kuru buz,,Suchy lód,,,,Gelo seco,Gelo seco,,,,,
1568,Surface,BLACK_ICE_DRY,Dry Black Ice,,,Suchy czarny lód,,,,Camada gelo seco,Gelo preto seco,,,,,
1569,Surface,MUD_DRY,Dry Mud,Kuru çamur,,Suche błoto,,,,Lama seca,Lama seca,,,,,
1570,Surface,COBBLES_DRY,Dry Cobbles,Kuru kaldırım,,Sucha kostka,,,,Calçada seca,Paralelepipedos secos,,,,,
1900,Number,No1,,,,,,,,,,,,,,
1901,Number,No2,,,,,,,,,,,,,,
1902,Number,No3,,,,,,,,,,,,,,
1903,Number,No4,,,,,,,,,,,,,,
1904,Number,No5,,,,,,,,,,,,,,
1905,Number,No6,,,,,,,,,,,,,,
1906,Number,No7,,,,,,,,,,,,,,
1907,Number,No8,,,,,,,,,,,,,,
1908,Number,No9,,,,,,,,,,,,,,
1909,Number,No10,,,,,,,,,,,,,,
1910,Number,No20,,,,,,,,,,,,,,
1911,Number,No30,,,,,,,,,,,,,,
1912,Number,No40,,,,,,,,,,,,,,
1913,Number,No50,,,,,,,,,,,,,,
1914,Number,No60,,,,,,,,,,,,,,
1915,Number,No70,,,,,,,,,,,,,,
1916,Number,No80,,,,,,,,,,,,,,
1917,Number,No90,,,,,,,,,,,,,,
1918,Number,No100,,,,,,,,,,,,,,
1919,Number,No120,,,,,,,,,,,,,,
1920,Number,No140,,,,,,,,,,,,,,
1921,Number,No150,,,,,,,,,,,,,,
1922,Number,No160,,,,,,,,,,,,,,
1923,Number,No180,,,,,,,,,,,,,,
1924,Number,No200,,,,,,,,,,,,,,
1925,Number,No250,,,,,,,,,,,,,,
1926,Number,No300,,,,,,,,,,,,,,
1927,Number,No350,,,,,,,,,,,,,,
1928,Number,No400,,,,,,,,,,,,,,
1929,Number,No450,,,,,,,,,,,,,,
1930,Number,No500,,,,,,,,,,,,,,
1931,Number,No600,,,,,,,,,,,,,,
1932,Number,No700,,,,,,,,,,,,,,
1933,Number,No800,,,,,,,,,,,,,,
1934,Number,No900,,,,,,,,,,,,,,
1935,Number,No1000,,,,,,,,,,,,,,
2800,Additional,FAST,Fast,Hızlı,,Szybki,,,Rapido,Rápida,Rápida,,,,,
2801,Additional,EASY,Easy,Kolay,Helppo,Łagodny,,,Facil,Fácil,Fácil,,,,,
2802,Additional,MEDIUM,Medium,Orta,M,Średni,,,Media,Média,Média,,,,,
2803,Additional,HARD,Hard,Zor,Kova,Ostry,,,Dificil,Difícil,Difícil,,,,,
2804,Additional,K,K,K,Nopee,Prostopadły,,,K,K,K,,,,,
2805,Additional,SQUARE,Square,Köşe,Neliö,Hak,,,Cruce,Quadrado,Noventa graus,,,,,
2806,Additional,FLAT,Flat,Düz,Täys,Płaski,,,Tope,Plano,Plano,,,,,
2807,Additional,GOOD,Good,İyi,Hyvä,Dobry,,,Buena,Boa,Boa,,,,,Znajdź inne tłumaczenie
2808,Additional,BAD,Bad,Kötü,Paha,Zły,,,Mala,Má,Ruim,,,,,Znajdź inne tłumaczenie
2809,Additional,NEGATIVE,Negative,Negatif,Nega,Negat,,,Negativo,Negativa,Negativa,,,,,
2810,Additional,POSITIVE,Positive,Pozitif,Posi,Pozytyw,,,Positivo,Positiva,Positiva,,,,,
2811,Additional,LIGHT,Light,Hafif,Kevyt,Lekki,,,Tenue,Leve,Leve,,,,,
2812,Additional,HEAVY,Heavy,Ağır,,Ciężki,,,Pesado,Pesado,Pesado,,,,,
2813,Additional,SMALL,Small,Küçük,Pien,Mały,,,Pequena,Pequena,Pequena,,,,,
2814,Additional,BIG,Big,Büyük,Iso,Duży,,,Grande,Grande,Grande,,,,,
2815,Additional,MUCH,Much,Fazla,Paljon,Bardzo,,,Mucho,Muito,Bastante,,,,,
2816,Additional,FEW,Few,Az,,Kilka,,,Pocos,Alguns,Poucos,,,,,
2817,Additional,MANY,Many,Oldukça,Monia,Wiele,,,Muchas,Muitos,Vários,,,,,
2818,Additional,VERY,Very,Çok,Tosi,Bardzo,,,Muy,Muito,Muito,,,,,
2819,Additional,EXTRA,Extra,İlave,Extra,Extra,,,Extra,Extra,Extra,,,,,
2820,Additional,SURFACE,Surface,Yüzey,Pinta,Nawierzchnia,,,Tipo de Terreno,Superfície,Superfície,,,,,
2821,Additional,ONE_PART,One Part,Tek parça,,Pojedyńczy,,,Único,Único,Único,,,,,
2822,Additional,TWO_PARTS,Two Parts,İki parça,Kaks Osaa,Podwójny,,,Doble,Duplo,Duplo,,,,,
2823,Additional,THREE_PARTS,Three Parts,Üç parça,Kolme Osaa,Potrójny,,,Triple,Triplo,Triplo,,,,,
2824,Additional,FOUR_PARTS,Four Parts,Dört parça,Neljä Osaa,Poczwórny,,,Cuádruple,Quádruplo,Quádruplo,,,,,
2825,Additional,FIVE_PARTS,Five Parts,Beş parça,Viis Osaa,Pięciokrotny,,,Quíntuple,Quintuplo,Quíntuplo,,,,,
2826,Additional,TURN,Turn,Dön,Risteys,Zakręt,,,Torcer,Vire,Vire,,,,,
2827,Additional,CURVE,Curve,kavis,,Łuk,,,Curva,Curva,Curva,,,,,
2828,Additional,FICKLE,Fickle,Kararsız,Häilyvä,Zmienny,,,Caprichoso,Caprichoso,Caprichoso,,,,,
2829,Additional,CRAMPED,Cramped,Sıkışık,Ahdas,Na styk,,,Estrecho,Apertado,Apertado,,,,,
2830,Additional,EDGE,Edge,Kenar,Reuna,Krawędź,,,Reborde,Borda,Beira,,,,,
2831,Additional,BORDER,Border,Sınır,,Granica,,,Borde,Fronteira,Fronteira,,,,,
2832,Additional,SLIDE,Slide,Kayma,Sladi,Uślizg,,,Escuridiza,Desliza,Desliza,,,,,
2833,Additional,HOLLOW,Hollow,çukur,,Pusty,,,Depresion,Oco,Vão,,,,,
2834,Additional,SHOULDER,Shoulder,banket,,Pobocze,,,Arcen,Acostamento,Acostamento,,,,,
,Modifier,TIGHTENS,7 Left,7 Sol,Vasen 7,Siedem lewy,,,Siete Izquierda,Sete Esquerda,Sete Esquerda,,,,,
,Modifier,TIGHTENSBAD,7 Right,7 Sağ,Oikee 7,Siedem prawy,,,Siete Derecha,Sete Direita,Sete Direita,,,,,
,Modifier,LONG,Tightens to 6,Altıya daralır,Kirraa 6,Zacisk Sześć,,,Cierra Seis,Aperta Seis,Aperta Seis,,,,,
,Modifier,MAYBE,,Yediye,,,,,Para Siete,Para Sete,Para Sete,,,,,
,Cautions,CAUTION_WATER,Opens to 7,Yediye açılır,Aukee 7,Otwiera Siedem,,,Abre Siete,Abre Sete,Abre Sete,,,,,
,Line,CUT,Slow Left,Sol yavaş,Vasen Hidas,Wolny lewy,,,,Esquerda lenta,Esquerda lenta,,,,,
,Line,DONTCUT,K Left,Sol K viraj,Vasen Koo,Prostopadły lewy,,,,Esquerda 90,Esquerda K,,,,,
,Links,AND,Medium Left,Orta sol,Vasen Nopee,Średni lewy,,,,Esquerda Média,Esquerda Media,,,,,
,Links,INTO,Fast Left,Hızlı sol,Vasen Eri,Szybki lewy,,,,Esquerda Rápida,Esquerda Rapida,,,,,
,Links,ONTO,Easy Left,Kolay sol,Vasen Helppo,Łagodny lewy,,,,Esquerda Fácil,Esquerda Facil,,,,,
,Links,EMPTY_CALL,Easy Right,Kolay sağ,Oikee Helppo,Łagodny prawy,,,,Direita Fácil,Direita Facil,,,,,
,Links,CALLOUT_ADJUST,Fast Right,Hızlı sağ,Oikee Eri,Szybki prawy,,,,Direita Rápida,Direita Rapida,,,,,
,Links,CALLOUT_TIME,Medium Right,Orta Sağ,Oikee Nopee,Średni prawy,,,,Direita Média,Direita Media,,,,,
,Links,CALLOUT_DISTANCE,K Right,Sağ K viraj,Oikee Koo,Prostopadły prawy,,,,Direita 90,Direita K,,,,,
,Links,SOUND_INDEX,Slow Right,Yavaş sağ,Oikee Hidas,Wolny prawy,,,,Direita lenta,Direita lenta,,,,,
,Links,PLACE_HOLDER,Flat Left,Düz sol,,Prosty lewy,,,Izq tope,Esquerda a fundo,Esquerda plana,,,,,
101,Corners,LEFT_7,Flat Right,Düz sağ,,Prosty prawy,,,Der tope,Direita a Fundo,Direita plana,,,,,
113,Corners,RIGHT_7,Tightens to Easy,Basit daralır,,Zacisk łagodny,,,,Aperta para fácil,Fecha para fácil,,,,,
600,Adjectives,TIGHTENS_TO6,Tightens to Fast,Hızlıya daralır,,Zacisk szybki,,,,Aperta para rápida,Fecha para rápida,,,,,
610,Adjectives,TO7,Tightens to Medium,Orta Daralır,,Zacisk średni,,,,Aperta para média,Fecha para média,,,,,
620,Adjectives,OPENS_TO7,Tightens to K,K viraja Daralır,,Zacisk PROSTOPADŁY,,,,Aperta para K,Fecha para K,,,,,
1,Corners,LEFT_SLOW,Tightens to Slow,Yavaşa daralır,,Zacisk POWOLNY,,,,Aperta para lenta,Fecha para lenta,,,,,
2,Corners,LEFT_K,Flat,Düz,Täys,Max,,,,Plana,Plana,,,,,
3,Corners,LEFT_MEDIUM,Easy,Basit,,Łagodny,,,,Fácil,Fácil,,,,,
4,Corners,LEFT_FAST,Fast,Hızlı,,Szybki,,,,Rápida,Rapida,,,,,
5,Corners,LEFT_EASY,Medium,Orta,,Średni,,,,Média,Media,,,,,
6,Corners,RIGHT_EASY,K,K,,PROSTOPADŁY,,,,K,K,,,,,
7,Corners,RIGHT_FAST,Slow,Yavaş,,POWOLNY,,,,Lento,Lenta,,,,,
8,Corners,RIGHT_MEDIUM,Opens to Flat,Düzlüğe Açılır,,Otwiera Max,,,,Abre para plana,Abre para plana,,,,,
9,Corners,RIGHT_K,Opens to Easy,Basite doğru açılır,,Otwiera łagodny,,,,Abre para fácil,Abre para facil,,,,,
10,Corners,RIGHT_SLOW,Opens to Fast,Hızlıya Açılır,,Otwiera szybki,,,,Abre para rápida,Abre para rapida,,,,,
101,Corners,LEFT_FLAT,Opens to Medium,Orta Açılır,,Otwiera średni,,,,Abre para média,Abre para media,,,,,
113,Corners,RIGHT_FLAT,Opens to K,K viraja açılır,,Otwiera PROSTOPADŁY,,,,Abre para K,Abre para K,,,,,
600,Adjectives,TIGHTENS_TOEASY,Opens to Slow,Yavaşa açılır,,Otwiera POWOLNY,,,,Abre para lenta,Abre para lenta,,,,,
601,Adjectives,TIGHTENS_TOFAST,Tightens,Daralır,Kirraa,Zacisk,,,Cierra,Aperta,Estreita,,,,,
602,Adjectives,TIGHTENS_TOMEDIUM,Tightens Bad,Fena daralır,Kirraa Kirraa,Mocny zacisk,,,Cierra Mucho,Aperta muito,Muito estreita,,,,,
603,Adjectives,TIGHTENS_TOK,Long,Uzun,,Długi,,,Larga,Longa,Longa,,,,,
605,Adjectives,TIGHTENS_TOSLOW,Maybe,Belki,,Może,,,Tal vez,Talvez,Talvez,,,,,
610,Adjectives,TOFLAT,Water,Su,,Woda,,,Cuidado agua,Cuidado Agua,Agua,,,,,
611,Adjectives,TOEASY,Cut,Kes,Leikkaa,Tnij,,,Cortar,Corta,Corta,,,,,
612,Adjectives,TOFAST,Dont cut,Kesme,,Nie tnij,,,No cortar,Nao Corta,Não corta,,,,,
613,Adjectives,TOMEDIUM,And,Ve,Ja,i,,,Para,E,E,,,,,
614,Adjectives,TOK,Into,İçine,Heti,Do,,,por,Para,para,,,,,
616,Adjectives,TOSLOW,Onto,Dışına,Heti,Na,,,En,Para,para,,,,,
620,Adjectives,OPENS_TOFLAT,Empty Call,,,,,,,,,,,,,
621,Adjectives,OPENS_TOEASY,Callout time,,,,,,,,,,,,,
