ID,Category,SLOT,English,Turkish,Finnish,Polish,German,French,Spanish,Portuguese,Brazilian,Czech,Italian,Dutch,,
622,Adjectives,OPENS_TOFAST,Callout distance,,,,,,,,,,,,,
623,Adjectives,OPENS_TOMEDIUM,Callout adjust,,,,,,,,,,,,,
624,Adjectives,OPENS_TOK,Sound index,,,,,,,,,,,,,
626,Adjectives,OPENS_TOSLOW,Placeholder,,,,,,,,,,,,,
,Effects,The battery's flat,Electronics are gone,Elektronikler gitti,Akku on sökönä,Elektryka padła,,,,Bateria do carro com falhas,a bateria pifou,,,,,
,Effects,Sounds like the gearbox is broken,Sounds like the gearbox is broken,Vites kutusu kırılmış gibi gözüküyor,Nyt ei kyllä vaihteet toimi kunnolla,Biegi nie wchodzą,,,,A caixa de velocidades não funciona,a marcha não funciona,,,,,
,Effects,There's a problem with the engine,There's a problem with the engine,Motorda bir sorun var gibi,Koneessa jotain vikaa,Silnik nie wyrabia!,,,,Há um problema com o motor,O motor foi pro saco, ,,,,
,Effects,Look's like the steering's broken,Look's like the steering's broken,Direksiyon kırılmış gibi,Vissiin ohjaus paskana,Poszedł wahacz,,,,Eixo da direção partido,o volante não vira,,,,,
,Effects,The suspension's broken,The suspension's broken,Süspansiyonlar kırık,Jouset on paskana,Urwałeś zawieszenie,,,,Suspensão em mau estado,a suspensão 'ta ruim,,,,,
,Effects,The water temperature is really high,The water temperature is really high,Hararet çok yüksek,Lämmöt nousee,Chłodnica się gotuje,,,,Aquecimento excessivo do motor,motor superaquecido,,,,,
,Effects,We've got a fire,FIRE! Run! Run!,YANGIN! Koş! Koş!,"PALAA, ulos ulos!","Ogień, ogień! Spierdalamy!",,,,Há um incêndio no carro,ta pegando fogo bicho!,,,,,
,Effects,We've lost the brakes,We've lost the brakes,Frenleri kaybettik,Tais jarrut mennä,Nie mamy hamulców!,,,,O carro está sem travões,o freio foi pro caralho,,,,,
,Effects,Ugh,Ugh,Ah,,Cholera!,,,,foda-se,merda,,,,,
,Effects,Ughhard,Ughhard,Ahhhh,,KURWA!,,,,ah po'caralho,caralho,,,,,
,Effects,Oh No,Oh No,Olamaz,,O nie!,,,,Oh não.,ah não,,,,,
,Effects,Watch,Watch,İzle,,Uważaj!,,,,Assistir,barbeiro,,,,,
,Countdown,GO,GO!,Yürü,,START!,,,,Vai,,,,,,
,UI,Add,Add,Ekle,,Dodaj,,,Cargar,Adicionar,Adicionar,,,,,
,UI,Apply,Apply,Uygula,,Zastosuj,,,Aplicar,Aplicar,Aplicar,,,,,
,UI,BackupDlsFailed,Failed to make a backup copy of DLS file!,,,Nieudany backup pliku DLS!,,,,Falha ao fazer uma copia de backup do arquivo DLS!,Falha ao fazer uma copia de backup do arquivo DLS!,,,,,
,UI,CalloutHandler,Callout Handler,,,,,,,Gerenciador das indicacoes de notas,Gerenciador dos indicadores de notas,,,,,
,UI,CalloutValue,Callout Value,,,Zawartość notatki,,,,Valor das indicacoes de notas,Valor das indicacoes de notas,,,,,
,UI,CamAnimation,Animation Camera,,,Animowana,,,Cámara animada,Camera Animacao,Camera Animacao,,,,,
,UI,CamB,Cam B,,,B,,,Cámara B,Camera B,Camera B,,,,,
,UI,CamBird,Bird Cam,Kuşbakışı Kamerası,,Ptaka,,,,Vista Ave,Vista Ave,,,,,
,UI,CamBonnet2,Bonnet Cam,Kaput Kamerası,,Z maski,,,,Vista Interna,Vista interna,,,,,
,UI,CamBonnet,Bumper Cam,Tampon Kamerası,,Ze zderzaka,,,,Vista Pára-choques,Vista Para-choques,,,,,
,UI,CamCondor,Condor Cam,Akbaba Kamerası,,Kondor,,,,Vista Condor,Vista Condor,,,,,
,UI,CamEagle,Eagle Cam,Kartal Kamerası,,Orzeł,,,,Vista Águia,Vista Aguia,,,,,
,UI,CamExternal,External Cam,Dış Kamera,,Zewnętrzna,,,,Vista Exterior,Vista Exterior,,,,,
,UI,CamHawk,Hawk Cam,Şahin Kamerası,,Jastrząb,,,,Vista Falcão,Vista Falcao,,,,,
,UI,CamHeli,Helicopter Cam,Helikopter Kamerası,,Helikopter,,,,Vista Heli,Vista Heli,,,,,
,UI,CamHeliLeft,Left Helicopter Cam,Sol Helikopter Kamerası,,Helikopter z lewej,,,,Vista Esq Heli,Vista Esq Heli,,,,,
,UI,CamHeliRight,Right Helicopter Cam,Sağ Helikopter Kamerası,,Helikopter z prawej,,,,Vista Dir Heli,Vista Dir Heli,,,,,
,UI,CamInternal,Internal Cam,İç Kamerası,,Wewnętrzna,,,Cámara Interna,Vista Condutor,Vista Condutor,,,,,
,UI,CamNine,Cam Nine,Kamera Dokuz,,Dziewięć,,,Cámara 9,Câmera Nove,Camera nove,,,,,
,UI,CamReplay,Replay Cam,Tekrar kamerası,,Powtórki,,,Replay Camera,"Câmera ""Replay""",Camera replay,,,,,
,UI,CamSix,Cam Six,Kamera Altı,,Sześć,,,Cámara 6,Câmera Seis,Camera seis,,,,,
,UI,CamTwo,Cam Two,Kamera İki,,Dwa,,,Cámara 2,Câmera Dois,Camera dois,,,,,
,UI,CamZero,Cam Zero,Kamera Sıfır,,Zero,,,Cámara 0,Câmera Zero,Camera zero,,,,,
,UI,Camera,Camera,Kamera,,Kamera,,,Cámara,Câmera,Camera,,,,,
,UI,CameraEditor,Camera Editor,Kamera editör,,Edytor Kamery,,,Editor de camars,Editor Vista,Editor de camera,,,,,
,UI,Cancel,Cancel,İptal,,Anuluj,,,Cancelar,Cancelar,Cancelar,,,,,
,UI,CannotFindRequestedFile,Cannot find the requested file.,İstenen dosya bulunamıyor,,Nie ma takiego pliku,,,Cannot find the requested file.,Não é possível encontrar o arquivo solicitado,Nao e possivel encontrar o arquivo solicitado,,,,,
,UI,CarDamage,Car Damage,Araç hasarı,,Uszkodzenia samochodu,,,Danos vehiculo,Dano na viatura,Dano do carro,,,,,
,UI,CarPosition,Car Position,Araç pozisyonu,,Pozycja samochodu,,,Posicion del coche,Posição da viatura,Posicao do carro,,,,,
,UI,Category,Category,Kategori,,Kategoria,,,Categoria,Categoria,Categoria,,,,,
,UI,Dash,Dash,,,Dash,,,Relojes,Tacografo,Tacografo,,,,,
,UI,DataSize,Data Size (MB),Veri boyutu,,Rozmiar danych (MB),,,,Data Size (MB),Tamanho do arquivo (MB),,,,,
,UI,Delete,Delete,Sil,,Usuń,,,Borrar,Eliminar,Apagar,,,,,
,UI,Disabled,Disabled,Etkisizleştir,,Nieaktywny,,,Desactivar,Desactivar,Desativar,,,,,
,UI,Drive,Drive,Sürme,,Jedź,,,Drive,Conduzir,Pilotar,,,,,
,UI,Enabled,Enabled,Etkinleştir,,Aktywny,,,Activar,Activo,Ativo,,,,,
,UI,Exit,Exit,Çıkış,,Wyjdź,,,Salir,Saída,Sair,,,,,
,UI,ExportToTsv,Export To TSV,TSV'ye çıkar,,Exportuj do TSV,,,Export To TSV,Exportar para Tsv,Exportar para Tsv,,,,,
,UI,Extras,Extras,Ekstralar,,Dodatki,,,Extras,Extras,Extras,,,,,
,UI,Feature,Feature,İçerik,,Funkcja,,,Feature,Destaque,Destaque,,,,,
,UI,File,File,Dosya,,Plik,,,Archivo,Ficheiro,Arquivo,,,,,
,UI,FileAlreadyExistsReplace,The file already exists. Replace it?,Dosyanın aynısı var. Tekrar yerleştir?,,Plik istnieje. Nadpisać?,,,,O arquivo já existe. Substituir?,O arquivo ja existe. Substituir?,,,,,
,UI,FileDontExist,The file doesnt exist,Dısya mevcut değil,,Plik nie istnieje,,,,O arquivo não existe,O arquivo nao existe,,,,,
,UI,Filename,Filename,Dosya adı,,Nazwa pliku,,,Nombre del archivo,Nome do ficheiro,Nome do arquivo,,,,,
,UI,FillStack,Fill Stack,Yığını doldur,,Wypełniaj stos,,,Fill Stack,Preenchimento camadas,Fill Stack,,,,,
,UI,Filter,Filter,Filtre,,Filtr,,,Filtro,Filtro,Filtro,,,,,
,UI,FullDash,Full Dash,,,Pełny Dash,,,Completo Dash,Tacografo Completo,Tacografo Completo,,,,,
,UI,Id,Id,Id,,Id,,,Id,Id,Id,,,,,
,UI,Load,Load,Yükle,,Załaduj,,,Cargar,Carregar,Carregar,,,,,
,UI,Loc,Loc.,Loc,,Lok.,,,Loc.,Loc,Loc,,,,,
,UI,Location,Location,Konum,,Lokacja,,,Localizacion,Localização,Localizacao,,,,,
,UI,MiniDash,Mini Dash,,,Mini Dash,,,Mini Dash,Tacografo Minimo,Tacografo Minimo,,,,,
,UI,Mute,Mute,Sessiz,,Wycisz,,,Enmudecer,Silenciar,Silenciar,,,,,
,UI,MuteReplayPacenotes,Mute Replay Pacenotes,,,Wycisz Pilota na Powtórce,,,,Silenciar notas de andamento no replay,Silenciar notas de ritmo no replay,,,,,
,UI,Name,Name,İsim,,Nazwa,,,Nombre,Nome,Nome,,,,,
,UI,NoLink,No Link,Bağlantı yok,,Bez łącznika,,,No Enlace,Sem Link,Sem link,,,,,
,UI,NoPaceNotes,No pacenotes present in current animation set.,,,Brak notatek w aktualnym zestawie animacji,,,No pacenotes present in current animation set.,Sem notas de andamento,Sem notas de andamento,,,,,
,UI,NoWrongWay,No Wrong Way,Ters yön yok,,Wyłącz alert jazdy pod prąd,,,,Sem caminho errado,Nao. Caminho errado,,,,,
,UI,Ok,Ok,Ok,,Ok,,,Bien,Ok,Ok,,,,,
,UI,OpenFileFailed,Failed to open file!,Dosya açma hatası,,Nie można otworzyć pliku,,,Fallo abriendo archivo,Falha ao abrir o arquivo!,Falha ao abrir o arquivo!,,,,,
,UI,Pacenote,Pacenote,Tavsiye notu,,Notatka,,,Nota,Notas de andamento,Notas de ritmo,,,,,
,UI,PacenoteEditor,Pacenote Editor,Tavsiye notu editörü,,Edytor Notatek,,,Editor de notas,Editor Notas de andamento,Editor de notas de ritmo,,,,,
,UI,PacenoteProperties,Pacenote Properties,Tavsiye notu özellikleri,,Właściwości Notatek,,,Propiedades de las Notas,Propriedades Notas de andamento,Propriedade das notas de ritmo,,,,,
,UI,Pacenotes,Pacenotes,Tavsiye notları,,Notatki,,,Notas,Notas de andamento,Notas de ritmo,,,,,
,UI,Parameters,Parameters,Parametreler,,Parametry,,,,Parâmetros,Parametros,,,,,
,UI,PauseReplay,Pause,Durdur,,Pauza,,,Pausa,Pausar Repetição,Pausar Repeticao,,,,,
,UI,ReadBtbFailed,Failed to read BTB file.,BTB dosyası okuma hatası,,Błąd wczytywania pliku BTB!,,,,A leitura do ficheiro BTB falhou,A leitura do arquivo BTB falhou,,,,,
,UI,ReadBtbFile,Read BTB File,BTB dosyası okuma,,Wczytaj plik BTB,,,,Ler ficheiro BTB,Ler arquivo BTB,,,,,
,UI,ReadBtbSucceeded,Successfully read BTB file.,Başarılı BTB dosyası okuma,,Wczytano plik BTB,,,,Arquivo BTB lido com sucesso,Arquivo BTB lido com sucesso,,,,,
,UI,ReadDefinitionIniFile,Read Definition INI File,Tanımlı INI dosyası okuma,,Wczytaj plik definicji INI,,,,Ler Arquivo INI de Definição,Ler Arquivo INI de Definicao,,,,,
,UI,ReadDlsFailed,Failed to read DLS file!,DLS dosyası okuma hatası,,Błąd wczytywania pliku DLS!,,,,Falha ao ler o arquivo DLS!,Falha ao ler o arquivo DLS!,,,,,
,UI,ReadFromBtb,Read From BTB,BTB'den okuma,,Wczytaj z BTB,,,,Ler do BTB,Ler do BTB,,,,,
,UI,Record,Record,Kayıt,,Nagrywaj,,,,Gravar,Gravar,,,,,
,UI,RemoveAll,Remove All,Hepsini Sİl,,Usuń wszystko,,,,Remover tudo,Remover tudo,,,,,
,UI,Replay,Replay,Tekrar,,Powtórka,,,Repeticion,Repetição,Replay,,,,,
,UI,ReplaySpeed,Replay Speed,Tekrar Hızı,,Prędkość odtwarzania,,,,Velocidade de repetição,Velocidade do replay,,,,,
,UI,Reset,Reset,Sıfırla,,Zresetuj,,,,Reiniciar,Reiniciar,,,,,
,UI,Save,Save,Kaydet,,Zapisz,,,Guardar,Guardar ,Salvar,,,,,
,UI,SaveAs,Save As,Farklı Kaydet,,Zapisz jako,,,Guarda como,Guardar como,Salvar como,,,,,
,UI,SaveAsBtb,Save As BTB,BTB gibi kaydet,,Zapisz jako BTB,,,Guarda como BTB,Guardar como BTB,Salvar como BTB,,,,,
,UI,SaveBtbFailed,Failed to save BTB file.,BTB dosyası kaydetme hatası,,Bład zapisu pliku BTB!,,,,Falha ao salvar arquivo BTB,Falha ao salvar arquivo BTB,,,,,
,UI,SaveBtbFile,Save BTB File,BTB dosyası kaydet,,Zapisz plik BTB,,,Guarda BTB,Guardar arquivo BTB,Salvar arquivo BTB,,,,,
,UI,SaveBtbSucceeded,Successfully saved BTB file.,BTB dosyası başarıyla kaydedildi,,Zapisano plik BTB,,,,Arquivo BTB salvo com sucesso,Arquivo BTB salvo com sucesso,,,,,
,UI,SaveCamera,Save Camera,Kamerayı kaydet,,Zapisz Kamerę,,,Guarda Camara,Salvar câmera,Salvar camera,,,,,
,UI,SaveCameraFailed,Failed to save camera settings!,Kamera ayarlarını kaydetme hatası,,Błąd zapisu ustawień kamery!,,,,Falha ao salvar as configuracoes da camera!,Falha ao salvar as configuracoes da camera!,,,,,
,UI,SaveCameraSucceeded,Successfully saved camera settings.,Kamera ayarları başarıyla kaydedildi,,Zapisano ustawienia kamery,,,,Configurações da câmera salvas com sucesso,Configuracoes da camera salvas com sucesso,,,,,
,UI,SaveDash,Save Dash,,,Zapisz Dash,,,Grabar Dash,Guardar tacografo,Salvar tacografo,,,,,
,UI,SaveDashFailed,Failed to save dash positions!,,,Błąd zapisu pozycji panelu!,,,,Falha ao salvar tacografo,Falha ao salvar tacografo,,,,,
,UI,SaveDashSucceeded,Successfully saved dash positions.,,,Zapisano pozycję panelu,,,,Tacografo salvo com sucesso,Tacografo salvo com sucesso,,,,,
,UI,SaveDlsFile,Save DLS File,DLS dosyasını kaydet,,Zapisz plik DLS,,,,Salvar arquivo DLS,Salvar arquivo DLS,,,,,
,UI,SaveDlsSucceeded,Successfully saved DLS file.,DLS dosyası başarıyla kaydedildi,,Zapisano plik DLS,,,,Arquivo DLS salvo com sucesso,Arquivo DLS salvo com sucesso,,,,,
,UI,SaveTelemetry,Save Telemetry,Telemetriyi kaydet,,Zapisz telemetrię,,,Guarda la telemetria,Salvar Telemetria,Salvar Telemetria,,,,,
,UI,SaveTelemetryFailed,Failed to save telemetry data!,Telemetre verisi kaydetme hatası,,Błąd zapisu telemetrii!,,,,Falha ao salvar dados de telemetria!,Falha ao salvar dados de telemetria!,,,,,
,UI,SaveTelemetrySucceeded,Successfully saved telemetry data.,Telemetre verisi başarıyla kaydedildi,,Zapisano dane telemetryczne,,,,Dados de telemetria salvos com sucesso,Dados de telemetria salvos com sucesso,,,,,
,UI,SaveTsvFailed,Failed to save TSV file.,TSV  dosyası kaydetme hatası,,Błąd zapisu pliku TSV!,,,,Falha ao salvar arquivo TSV,Falha ao salvar arquivo TSV,,,,,
,UI,SaveTsvFile,Save TSV File,TSV dosyasını kaydet,,Zapisz plik TSV,,,,Salvar arquivo TSV,Salvar arquivo TSV,,,,,
,UI,SaveTsvSucceeded,Successfully saved TSV file.,TSV dosyası başarıyla kaydedildi,,Zapisano plik TSV,,,,Arquivo TSV salvo com sucesso,Arquivo TSV salvo com sucesso,,,,,
,UI,Settings,Settings,Ayarlar,,Ustawienia,,,Opciones,Configurações,Configuracoes,,,,,
,UI,ShowCameraPosition,Show Camera Position,Kamera Pozisyonu Göster,,Pokaż pozycję kamery,,,Ver Posicion d el a camara,Mostrar a posção da câmera,Mostrar posição da camera,,,,,
,UI,ShowCarDamage,Show Car Damage,Araç hasarı Göster,,Pokaż uszkodzenia,,,Ver Danos del Coche,Mostrar os danos no carro,Mostrar danos no carro,,,,,
,UI,ShowCheckPointTimes,Show Splits,Bölümleri göster,,Pokaż międzyczasy,,,Ver Parciales,"Mostrar os tempos ""check-points""",Mostrar tempos de checkpoint,,,,,
,UI,ShowDistance,Show Distance,Uzaklık göster,,Pokaż dystans,,,Ver distancia,Mostrar distância,Mostrar distancia,,,,,
,UI,ShowDistanceCountdown,Show Distance Countdown,Uzaklık gerisayım göster,,Pokaż licznik dystansu,,,,Mostrar contagem regressiva da distância,Mostrar contagem regressiva da distancia,,,,,
,UI,ShowDriveLineBar,Show Driveline Bar,Sürüş çizgisi barını göster,,Pokaż pasek przejazdu,,,,Mostrar a linha de condução,Mostrar a linha de conducao,,,,,
,UI,ShowEnhancedFps,Show Enhanced FPS,Gelişmiş FPS göster,,Pokaż zaawansowane FPS,,,Ver FPS,Mostrar FPS aprimorados,Mostrar FPS aprimorados,,,,,
,UI,ShowExterior,Show Car Exterior,Araç dışını göster,,Pokaż wnętrze samochodu,,,,Mostrar Exterior do Carro,Mostrar Exterior do Carro,,,,,
,UI,ShowIngameClock,Show Ingame Clock,Oyun içi saati göster,,Pokaż czas w aplikacji,,,Ver Relojes,Mostrar cronómetro,Mostrar cronometro,,,,,
,UI,ShowPaceNotes3D,Show 3D Pacenotes,3D tavsiye notlarını göster,,Pokaż notatki 3D,,,Ver Notas 3D,Mostrar as notas de andamento em trêsD,Mostrar as notas de andamento em 3D,,,,,
,UI,ShowPaceNotes,Show Pacenotes,Tavsiye notlarını göster,,Pokaż tabliczki notatek,,,Ver Notas,Mostrar as notas de andamento,Mostrar as notas de andamento,,,,,
,UI,ShowReplayHUD,Show HUD in Replay,Tekrarda Göstergeleri goster,,Pokaż HUD na powtórce,,,Ver Relojes en la Repeticion,Mostrar HUD na repetição,Mostrar HUD no replay,,,,,
,UI,ShowStandardCall,Show Standard Call,,,Pokaż Standardowe notatki,,,,Mostrar Chamada Padrão,Mostrar Chamada Padrao,,,,,
,UI,Status,Status,Durum,,Status,,,Status,Estado,Estado,,,,,
,UI,Step,Step,Dur,,Pozycja,,,Posicion,Passo,Passo,,,,,
,UI,Sticky,Sticky,Yapışkan,,Przyklej,,,Sticky,Fixo,Fixo,,,,,
,UI,Telemetry,Telemetry,Telemetri,,Telemetria,,,Telemetria,Telemetria,Telemetria,,,,,
,UI,Translation,Translation,Çeviri,,Tłumaczenie,,,Translacion,Tradução,Traducao,,,,,
,UI,WriteDlsFailed,Failed to save DLS file!,DLS dosyası kaydetme hatası,,Błąd zapisu pliku DLS!,,,,Falha ao escrever o arquivo DLS!,Falha ao salvar o arquivo DLS,,,,,
,UI,WriteFileFailed,Failed file save!,Kaydetme hatası,,Bład zapisu pliku!,,,,Falha ao escrever o arquivo!,Falha ao salvar o arquivo,,,,,
,UI,WriteIniFailed,Failed to save INI file!,INI dosyası kaydetme hatası,,Błąd zapisu pliku INI!,,,,Falha ao escrever o arquivo INI!,Falha ao salvar o arquivo INI,,,,,
,UI Categories,CORNERS,Corners,Kamera,,Zakręty,,,Curvas,Curvas,Curvas,,,,,
,UI Categories,LINKS,Links,Bağlantılar,,Łączniki,,,Llamadas,Ligação,Chamadas,,,,,
,UI Categories,CAUTIONS,Cautions,Uyarılar,,Ostrzeżenia,,,Alertas,Advertências,Advertencias,,,,,
,UI Categories,MODIFIER,Modifier,Değiştirici,,Modyfikatory,,,Modificacion curvas,Modificador,Modificador,,,,,
,UI Categories,LINE,Line,Çizgi,,Linia,,,Linea a trazar,Linha,Linha,,,,,
,UI Categories,OBSTACLES,Obstacles,Engeller,,Przeszkody,,,Obstaculos,Obstáculos,Obstaculos,,,,,
,UI Categories,CONSTRUCTION,Construction,Yapı,,Obiekty,,,Estructuras,Construção,Construcao,,,,,
,UI Categories,DRIVING,Driving,Sürüş,,Tempo,,,Tipo de Conduccion,Condução,Conducao,,,,,
,UI Categories,PREPOSITIONS,Prepositions,,,Lokalizatory,,,Preposiciones,Preposições,Preposicoes,,,,,
,UI Categories,ADDITIONAL,Additional,Ek olarak,,Dodatkowe,,,Datos adicionales de curva,Adicional,Adicional,,,,,
,Legacy,UNKNOWN,UNKNOWN!,BİLİNMEYEN!,,NIEZNANY!,,,Desconocido,Desconhecido,Desconhecido,,,,,
,Legacy,PACENOTES_FILE,Pacenotes File,Tavsiye notu dosyası,,Plik notatek,,,Archivo de notas,Ficheiro Notas de Andamento,Arquivo de notas de ritmo,,,,,
,Legacy,RANGES_FILE,Ranges File,,,Plik odległości,,,Clasificar archivo,Intervalos de Arquivo,Intervalos de Arquivo,,,,,
